identifier	slt	ink	demoted
0707.2676_EQ0019	0	8	no
0707.4470_EQ0001	0	20	no
0707.4470_EQ0004	0	0	no
0707.4470_EQ0010	0	5	yes
0707.4470_EQ0012	0	3	no
0707.4470_EQ0013	0	5	no
0707.4470_EQ0014	0	0	no
0707.4470_EQ0016	0	3	no
0707.4470_EQ0018	0	0	no
0707.4470_EQ0019	0	0	no
0707.4470_EQ0020	0	0	no
0707.4470_EQ0021	0	0	no
0707.4470_EQ0023	0	6	no
0707.4470_EQ0024	0	5	no
0707.4470_EQ0025	0	23	no
0707.4470_EQ0034	0	0	no
0707.4470_EQ0037	0	0	no
0707.4470_EQ0039	0	5	no
0707.4470_EQ0040	0	10	no
0707.4470_EQ0044	0	1	no
0707.4470_EQ0053	0	1	no
0707.4470_EQ0057	0	4	yes
0707.4470_EQ0058	0	4	no
0711.0273_EQ0004	0	1	no
0711.0273_EQ0005	0	0	no
0711.0273_EQ0007	0	0	no
0711.0273_EQ0008	0	1	no
0711.0273_EQ0009	0	1	no
0711.0273_EQ0010	0	1	no
0711.0273_EQ0011	0	1	no
0711.0273_EQ0013	0	0	no
0802.3344_EQ0001	0	17	no
0802.3344_EQ0003	0	2	no
0802.3344_EQ0004	0	4	no
0802.3344_EQ0007	0	0	no
0802.3344_EQ0008	0	13	no
0802.3344_EQ0012	0	0	no
0802.3344_EQ0013	0	0	no
0802.3344_EQ0014	0	8	no
0802.3344_EQ0015	0	6	no
0802.3344_EQ0016	0	12	no
0802.3344_EQ0017	0	5	no
0802.3344_EQ0018	0	3	no
0802.3344_EQ0020	0	10	no
0802.3344_EQ0021	0	5	no
0803.2924_EQ0001	0	0	no
0803.2924_EQ0002	0	0	no
0803.2924_EQ0004	0	4	no
0803.2924_EQ0005	0	4	no
0803.2924_EQ0008	0	62	no
0803.2924_EQ0009	0	0	no
0803.2924_EQ0010	0	0	no
0803.2924_EQ0012	0	2	no
0803.2924_EQ0014	0	21	no
0803.2924_EQ0015	0	0	no
0803.2924_EQ0016	0	14	no
0803.2924_EQ0017	0	0	no
0803.2924_EQ0018	0	4	no
0803.2924_EQ0020	0	3	no
0803.2924_EQ0021	0	0	no
0803.2924_EQ0023	0	1	no
0806.1585_EQ0001	0	0	no
0806.1585_EQ0002	0	1	no
0806.1585_EQ0003	0	4	no
0806.1585_EQ0004	0	0	no
0806.1585_EQ0005	0	1	no
0806.1585_EQ0010	0	0	no
0806.1585_EQ0011	0	5	no
0806.1585_EQ0013	0	0	no
0806.1585_EQ0014	0	0	no
0806.1585_EQ0015	0	2	no
0806.1585_EQ0017	0	2	no
0806.1585_EQ0019	0	1	no
0806.1585_EQ0020	0	5	no
