document	identifier	ink	signed_delta	mathpix_conf	L_five_tuple	R_five_tuple	crop_h	doc_median_crop_h	page
1910.05241	1910.05241_EQ0025	C|+71	71	0.213	[283, 153, 272, 198, 74]	[354, 119, 253, 191, 62]	80	54	None
1910.05241	1910.05241_EQ0041	C|+45	45	0.814	[320, 190, 203, 175, 28]	[365, 170, 270, 233, 37]	80	54	None
1910.05241	1910.05241_EQ0029	C|+44	44	0.734	[279, 140, 173, 162, 11]	[323, 107, 245, 171, 74]	81	54	None
wzlxjtu-095	wzlxjtu-095_EQ0001	C|+39	39	0.359	[594, 250, 508, 184, 265]	[633, 257, 494, 186, 236]	835	0	None
1510.06699	1510.06699_EQ0003	C|+35	35	1.0	[84, 38, 3, 3, 0]	[119, 35, 9, 5, 4]	54	57	None
1910.05241	1910.05241_EQ0039	C|+29	29	0.601	[283, 163, 177, 153, 24]	[312, 149, 213, 178, 35]	78	54	None
1910.05241	1910.05241_EQ0043	C|+27	27	0.449	[285, 183, 175, 171, 4]	[312, 156, 209, 192, 17]	78	54	None
1910.05241	1910.05241_EQ0033	C|+27	27	0.593	[277, 177, 175, 152, 23]	[304, 152, 205, 176, 29]	82	54	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0529	C|+25	25	1.0	[32, 13, 21, 20, 1]	[57, 14, 33, 28, 5]	172	105	None
1910.05241	1910.05241_EQ0031	C|+23	23	0.516	[206, 169, 123, 107, 16]	[229, 133, 125, 116, 9]	82	54	None
Lie Groups, Physics and Geometry - An Intro for Physicists, Engineers and Chemists - R. Gilmore (	gilmore-lie-groups_EQ0024	C|+21	21	0.222	[19, 0, 1, 1, 0]	[40, 5, 6, 4, 2]	136	105	None
wzlxjtu-024	wzlxjtu-024_EQ0004	C|+21	21	1.0	[64, 13, 13, 4, 8]	[85, 7, 16, 5, 10]	111	122	None
wzlxjtu-095	wzlxjtu-095_EQ0003	C|+20	20	0.883	[394, 154, 284, 117, 139]	[414, 152, 301, 117, 145]	582	0	None
ws-19-20-category-theory-hw4	ws-19-20-category-theory-hw4_EQ0003	C|+19	19	0.131	[33, 0, 8, 5, 3]	[52, 1, 12, 9, 3]	72	0	None
guide-tables	guide-tables_EQ0004	C|+16	16	1.0	[11, 5, 4, 2, 2]	[27, 6, 0, 0, 0]	51	68	None
1709.10026v3	1709.10026v3_EQ0013	C|+13	13	0.337	[73, 23, 12, 6, 6]	[86, 25, 32, 11, 21]	122	90	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0223	C|+12	12	1.0	[30, 18, 19, 15, 4]	[42, 18, 22, 17, 5]	174	105	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0486	C|+10	10	0.011	[45, 4, 23, 17, 6]	[55, 1, 30, 28, 2]	172	105	None
Numerical Linear Algebra and Matrix Factorizations (Tom Lyche) (Z-Library)	lyche-numerical-linear-algebra_EQ0404	C|+10	10	0.448	[63, 55, 46, 46, 0]	[73, 58, 57, 57, 0]	188	95	None
2005.04015	2005.04015_EQ0061	C|+8	8	0.007	[153, 12, 82, 46, 28]	[161, 11, 76, 52, 16]	183	92	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0054	C|+8	8	0.791	[25, 6, 9, 9, 0]	[33, 8, 9, 9, 0]	162	105	None
1510.06699	1510.06699_EQ0204	C|+6	6	0.988	[18, 9, 0, 0, 0]	[24, 9, 0, 0, 0]	52	57	None
Geometrodynamics of Gauge Fields On the Geometry of Yang-Mills and Gravitational Gauge Theories (Eckehard W. Mielke) (Z-Library)	mielke-geometrodynamics_EQ0970	C|+6	6	0.758	[40, 10, 8, 8, 0]	[46, 13, 11, 9, 2]	116	82	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0909	C|+5	5	0.7	[66, 19, 49, 19, 30]	[71, 21, 50, 19, 31]	160	105	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0723	C|+5	5	0.81	[134, 14, 31, 15, 16]	[139, 15, 61, 23, 38]	139	105	None
sigma12-060	sigma12-060_EQ0053	C|+5	5	0.984	[109, 8, 9, 5, 4]	[114, 4, 11, 6, 4]	215	127	None
1510.06699	1510.06699_EQ0011	C|+4	4	0.614	[54, 4, 14, 7, 7]	[58, 4, 18, 7, 11]	66	57	None
1510.06699	1510.06699_EQ0034	C|+4	4	1.0	[47, 19, 11, 10, 0]	[51, 20, 13, 10, 3]	57	57	None
1510.06699	1510.06699_EQ0237	C|+4	4	1.0	[51, 7, 13, 5, 7]	[55, 7, 14, 6, 8]	52	57	None
1910.05241	1910.05241_EQ0035	C|+4	4	0.788	[31, 24, 18, 18, 0]	[35, 25, 21, 20, 1]	79	54	None
2209.00445	2209.00445_EQ0002	C|+4	4	0.369	[59, 16, 41, 15, 22]	[63, 16, 51, 13, 25]	73	0	None
2209.00445v3	2209.00445v3_EQ0002	C|+4	4	0.369	[59, 16, 41, 15, 22]	[63, 16, 51, 13, 25]	73	0	None
Numerical Linear Algebra and Matrix Factorizations (Tom Lyche) (Z-Library)	lyche-numerical-linear-algebra_EQ0498	C|+4	4	0.42	[29, 4, 2, 2, 0]	[33, 5, 7, 7, 0]	89	95	None
0403040v2	0403040v2_EQ0129	C|+3	3	0.999	[54, 16, 11, 11, 0]	[57, 16, 12, 11, 1]	84	54	None
1411.5002	1411.5002_EQ0103	C|+3	3	1.0	[37, 8, 6, 3, 3]	[40, 8, 7, 4, 3]	50	85	None
1603.04246v2	1603.04246v2_EQ0082	C|+3	3	0.857	[31, 0, 8, 6, 2]	[34, 1, 8, 6, 2]	173	121	None
2207.03560	2207.03560_EQ0049	C|+3	3	1.0	[20, 5, 7, 5, 2]	[23, 4, 9, 7, 2]	70	104	None
2207.03560	2207.03560_EQ0036	C|+3	3	1.0	[35, 7, 11, 3, 8]	[38, 9, 12, 3, 9]	115	104	None
An Invitation to Applied Category Theory Seven Sketches In Compositionality (Brendan Fong, David I. Spivak) (Z-Library)	fong-spivak-invitation_EQ0209	C|+3	3	0.772	[13, 2, 6, 6, 0]	[16, 3, 5, 5, 0]	78	51	None
Chapter 1 - Ballistic transport and Landauer formula	Chapter_1_-_Ballistic_transport_and_Landauer_formula_EQ0017	C|+3	3	0.992	[11, 4, 4, 2, 2]	[14, 4, 5, 2, 3]	81	281	None
Geometric, Algebraic and Topological Methods for Quantum Field Theory (Alexander Cardona (ed.) etc.) (Z-Library)	cardona-qft-methods_EQ0831	C|+3	3	0.539	[44, 22, 19, 14, 5]	[47, 18, 19, 14, 5]	113	57	None
Geometrodynamics of Gauge Fields On the Geometry of Yang-Mills and Gravitational Gauge Theories (Eckehard W. Mielke) (Z-Library)	mielke-geometrodynamics_EQ0787	C|+3	3	0.258	[39, 4, 3, 1, 2]	[42, 10, 2, 2, 0]	55	82	None
Geometrodynamics of Gauge Fields On the Geometry of Yang-Mills and Gravitational Gauge Theories (Eckehard W. Mielke) (Z-Library)	mielke-geometrodynamics_EQ0040	C|+3	3	1.0	[21, 2, 4, 4, 0]	[24, 2, 4, 4, 0]	88	82	None
Goedel	Goedel_EQ0012	C|+3	3	0.852	[71, 13, 49, 13, 30]	[74, 25, 38, 13, 25]	100	71	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ1268	C|+3	3	0.813	[17, 3, 0, 0, 0]	[20, 3, 4, 4, 0]	99	105	None
Introduction to Linear and Matrix Algebra (Nathaniel Johnston) (Z-Library)	johnston-linear-matrix-algebra_EQ0516	C|+3	3	1.0	[42, 13, 24, 20, 4]	[45, 13, 24, 21, 3]	174	105	None
chung2019combinatorics	chung2019combinatorics_EQ0282	C|+3	3	0.545	[17, 2, 1, 1, 0]	[20, 4, 14, 6, 8]	84	72	None
josab-40-8-1922	josab-40-8-1922_EQ0055	C|+3	3	0.99	[93, 34, 33, 13, 16]	[96, 47, 35, 13, 16]	103	90	None
josab-40-8-1922	josab-40-8-1922_EQ0023	C|+3	3	1.0	[29, 6, 22, 11, 8]	[32, 9, 24, 14, 7]	99	90	None
sdisoth2013	sdisoth2013_EQ0014	C|+3	3	1.0	[69, 8, 25, 16, 9]	[72, 8, 30, 18, 10]	110	98	None
